Date, Cumulative kWh, Delta +kWh
2021-01-31 23:00, 332.93, 32.45
2021-02-28 23:00, 366.12, 33.19
2021-03-31 23:00, 376.94, 10.82
2021-04-30 23:00, 384.81, 7.87
2021-05-31 23:00, 388.08, 3.27
2021-06-30 23:00, 389.56, 1.48
2021-07-31 23:00, 390.72, 1.16
2021-08-31 23:00, 391.28, 0.56
2021-09-30 23:00, 391.97, 0.69
2021-10-31 23:00, 400.68, 8.71
2021-11-30 23:00, 416.25, 15.57
2021-12-31 23:00, 449.10, 32.85
2022-01-31 23:00, 479.28, 30.18
2022-02-28 23:00, 507.16, 27.88
2022-03-31 23:00, 523.17, 16.01
2022-04-30 23:00, 529.58, 6.41
2022-05-31 23:00, 532.16, 2.58
2022-06-30 23:00, 537.66, 5.50
2022-07-31 23:00, 551.42, 13.76
2022-08-31 23:00, 562.24, 10.82
2022-09-30 23:00, 565.74, 3.50
2022-10-31 23:00, 572.51, 6.77
2022-11-30 23:00, 583.99, 11.48
2022-12-31 23:00, 618.99, 35.00
2023-01-31 23:00, 646.52, 27.53
